player,date,time,id,item,itemID,itemString,response,votes,class,instance,boss,difficultyID,mapID,groupSize,gear1,gear2,responseID,isAwardReason,subType,equipLoc,note,owner
Vynkashades-Sanguino,12/5/24,22:40:30,1715542830-10,[Lost Scholar's Belted Treads],207122,item:207122::::::::70:577::84:7:6652:10873:7980:10330:10884:1540:8767,Bis,0,WARLOCK,"Amirdrassil, the Dream's Hope-Heroic",Volcoross,15,2549,16,|cffa335ee|Hitem:193806:6613:::::::70:577::16:7:10316:9639:6652:10870:9144:3181:8767:1:28:1279:::::|h[Ancient Crosswrapped Sandals]|h|r,,2,true,Cloth,Feet,,Mîssah-Zul'jin
Vynkashades-Sanguino,12/5/24,23:06:38,1715544398-20,[Lifewoven Slippers],207123,item:207123::::::::70:577::84:7:6652:10873:7980:10331:10884:1543:8767,Transmog,0,WARLOCK,"Amirdrassil, the Dream's Hope-Heroic","Nymue, Weaver of the Cycle",15,2549,17,|cffa335ee|Hitem:207122::::::::70:577::84:7:6652:10873:7980:10330:10884:1540:8767::::::|h[Lost Scholar's Belted Treads]|h|r,,6,true,Cloth,Feet,,Mîssah-Zul'jin
Sisix-Uldum,18/9/24,22:21:05,1726687265-34,[Spire of Transfused Horrors],212389,item:212389::::::::80:269::3:5:6652:10354:10271:1504:10255:1:28:2462,Pre-Bis,2,DRUID,Nerub-ar Palace-Normal,Broodtwister Ovi'nax,14,2657,28,|cff0070dd|Hitem:224709::::::::80:269::28:5:6652:1680:10282:1652:10254:1:28:2462:::::|h[Ancient Forged Staff of the Quickblade]|h|r,,3,false,Staves,Two-Hand,,Liendresempa-Zul'jin
Sisix-Uldum,18/9/24,22:29:26,1726687766-41,[Fleeting Massacre Footpads],225591,item:225591::::::::80:269::3:6:6652:10376:10354:10271:1504:10255:1:28:2462,Mejora,2,DRUID,Nerub-ar Palace-Normal,Nexus-Princess Ky'veza,14,2657,28,|cff0070dd|Hitem:223950::::::::80:269::30:4:6652:10294:1615:10254:1:28:2462:::::|h[Corruption Sifter's Treads]|h|r,,4,false,Leather,Feet,,Liendresempa-Zul'jin
Sisix-Uldum,19/9/24,00:11:31,1726693891-15,[Spire of Transfused Horrors],212389,item:212389::::::::80:269::5:5:6652:10355:10263:1517:10255:1:28:2462,Pre-Bis,2,DRUID,Nerub-ar Palace-Heroic,Broodtwister Ovi'nax,15,2657,19,|cffa335ee|Hitem:212389::::::::80:269::3:5:6652:10354:10271:1504:10255:1:28:2462:::::|h[Spire of Transfused Horrors]|h|r,,3,false,Staves,Two-Hand,,Liendresempa-Zul'jin
Sisix-Uldum,25/9/24,22:55:57,1727294157-31,[Mystic Blasphemer's Effigy],225615,item:225615::::::::80:269::5:3:10355:1517:10255,Tier Set,3,DRUID,Nerub-ar Palace-Heroic,Broodtwister Ovi'nax,15,2657,27,|cffa335ee|Hitem:219174::::::::80:269::109:5:6652:10377:10270:3185:10255:1:28:2462:::::|h[Myconic Frock]|h|r,,1,false,Armor Token,,b2,Liendresempa-Zul'jin
Sisix-Uldum,25/9/24,23:07:38,1727294858-36,[Mystic Slayer's Icon],225627,item:225627::::::::80:269::5:4:10370:10355:1517:10255:1:28:2723,Tier Set,3,DRUID,Nerub-ar Palace-Heroic,Nexus-Princess Ky'veza,15,2657,27,|cffa335ee|Hitem:133354::::::::80:269::16:7:10390:6652:10377:10383:10270:10036:10255:1:28:2462:::::|h[Glimmerthread Pantaloons]|h|r,,1,false,Armor Token,,Con esto y lo de 2k me pongo b4,Liendresempa-Zul'jin
Sisix-Uldum,25/9/24,23:21:36,1727295696-43,[Swarmlord's Authority],212450,item:212450::::::::80:269::5:5:6652:10355:10262:1520:10255:1:28:2462,Pre-Bis,3,DRUID,Nerub-ar Palace-Heroic,The Silken Court,15,2657,27,|cffa335ee|Hitem:226539::::::::80:269::109:5:6652:41:10270:3135:10255:1:28:2462:::::|h[Scroll of Momentum]|h|r,|cffa335ee|Hitem:212456::::::::80:269::3:5:6652:10354:10270:1507:10255:1:28:2462:::::|h[Void Reaper's Contract]|h|r,3,false,Miscellaneous,Trinket,,Liendresempa-Zul'jin
Sisix-Uldum,2/10/24,23:01:55,1727899315-28,[Accelerated Ascension Coil],225580,item:225580::::::::80:102::69:7:43:10876:10377:10271:11215:1504:10255:1:28:2462,Personal Loot - Non tradeable,nil,DRUID,Nerub-ar Palace-Heroic,Broodtwister Ovi'nax,15,2657,30,,,PL,false,Mail,Waist,,Sisix-Uldum
Sisix-Uldum,2/10/24,23:17:51,1727900271-44,[Mystic Slayer's Icon],225627,item:225627::::::::80:269::5:4:10370:10355:1517:10255:1:28:2723,Offspec,2,DRUID,Nerub-ar Palace-Heroic,Nexus-Princess Ky'veza,15,2657,30,|cffa335ee|Hitem:212055:7601:::::::80:269::5:6:10355:10370:6652:10262:1520:10255:1:28:2462:::::|h[Leggings of the Greatlynx]|h|r,,5,false,Armor Token,,si nadie quiere puedo tener unos encantados de tanke jeje,Liendresempa-Zul'jin
