"player","date","time","id","item","itemID","itemString","response","votes","playerClass","instance","boss","difficultyID","mapID","groupSize","gear1","gear2","responseID","isAwardReason","note","owner","typeCode","tierToken"
"Clowln-Sanguino","2025/05/14","22:09:00","1747253429-2","Vandal's Skullplating","228875","item:228875::::::::80:262::6:6:43:11998:10356:11991:1511:10255:1:28:2462:::::","Bis","0","DRUID","Liberation of Undermine-Mythic","Vexie and the Geargrinders","16","2769","20","Jaws of Reclaiming Blight","","2","false","convertir en tier","Elcoka-Sanguino","default",""
"Clowln-Sanguino","2025/06/25","22:18:00","1750882821-9","Excessively Bejeweled Curio","228819","item:228819::::::::80:262::6:3:10356:1520:10255::::::","Pass","0","DRUID","Liberation of Undermine-Mythic","Chrome King Gallywix","16","2769","20","Branches of Reclaiming Blight","Robes of Reclaiming Blight","PASS","false","","Elcoka-Sanguino","default",""
"Clowln-Sanguino","2025/07/02","22:05:00","1751486826-4","Greasemonkey's Shift-Stick","228892","item:228892::::::::80:269::6:5:6652:10356:11991:1511:10255:1:28:2462:::::","Transmog","0","DRUID","Liberation of Undermine-Mythic","Vexie and the Geargrinders","16","2769","20","Best-in-Slots","","6","false","","Cokamonkey-Sanguino","default",""
"Clowln-Sanguino","2025/07/02","22:06:00","1751486874-5","Pit Doctor's Petticoat","228865","item:228865::::::::80:269::6:6:6652:11998:10356:11991:1511:10255:1:28:2462:::::","Autopass","0","DRUID","Liberation of Undermine-Mythic","Vexie and the Geargrinders","16","2769","20","Breeches of Reclaiming Blight","","AUTOPASS","false","","Cokamonkey-Sanguino","default",""
"Clowln-Sanguino","2025/07/03","00:02:00","1751493755-2","Made Manacles","228878","item:228878::::::::80:262::6:7:6652:12176:11998:10356:11994:1520:10255:1:28:2462:::::","Autopass","0","DRUID","Liberation of Undermine-Mythic","Mug'Zee, Heads of Security","16","2769","20","Disturbed Kelp Wraps","","AUTOPASS","false","","Elcoka-Sanguino","default",""
"Clowln-Sanguino","2025/07/21","22:01:00","1753128165-0","Avambrazos a toda máquina","228868","item:228868::::::::80:102::70:7:6652:12055:11964:11985:11215:1498:10255:1:28:2462:::::","Personal Loot - Non tradeable","0","DRUID","Liberation of Undermine-Mythic","Vexie and the Geargrinders","16","2769","20","","","PL","false","","Clowln-Sanguino","",""
"Clowln-Sanguino","2025/07/23","23:23:00","1753305812-9","Hired Muscle's Legguards","228853","item:228853::::::::80:262::6:6:6652:11998:10356:11994:1520:10255:1:28:2462:::::","Autopass","0","DRUID","Liberation of Undermine-Mythic","Mug'Zee, Heads of Security","16","2769","20","Breeches of Reclaiming Blight","","AUTOPASS","false","","Elcoka-Sanguino","default",""
"Clowln-Sanguino","2025/08/14","22:06:00","1755202052-10","Mystic Silken Offering","237594","item:237594::::::::80:269::5:4:12232:10355:1507:10255::::::","Tierset","1","DRUID","Manaforge Omega-Heroic","Loom'ithar","15","2810","20","Breeches of Reclaiming Blight","","1","false","tier 3 rompo por piernas","Cokamonkey-Sanguino","default","true"
"Clowln-Sanguino","2025/08/15","00:02:00","1755208943-29","Duskblaze's Desperation","237569","item:237569::::::::80:269::5:7:6652:10394:10392:10355:12352:1511:10255:1:28:2462:::::","Bis","3","DRUID","Manaforge Omega-Heroic","The Soul Hunters","15","2810","20","Strapped Rescue-Keg","","2","false","bis raid","Cokamonkey-Sanguino","default",""
"Deafkníght-Zul'jin","2023/07/09","22:13:45","1688930025-0","Etchings of the Captive Revenant","202573","item:202573::::::::70:102::5:7:9409:9330:6652:9226:9220:1485:8767::::::","Mejora","0","DEATHKNIGHT","Aberrus, the Shadowed Crucible-Heroic","Kazzara, the Hellforged","15","2569","16","Etchings of the Captive Revenant","","4","false","","Codetuma-Zul'jin","default",""
"Deafkníght-Zul'jin","2023/07/09","22:31:15","1688931075-8","Unyielding Goliath's Burgonet","202592","item:202592::::::::70:102::5:8:6652:9414:9226:9221:9409:9331:1485:8767::::::","Mejora","0","DEATHKNIGHT","Aberrus, the Shadowed Crucible-Heroic","Rashok, the Elder","15","2569","17","Lingering Phantom's Dreadhorns","","4","false","pa catalizador o transmog","Codetuma-Zul'jin","default",""
"Deafkníght-Zul'jin","2023/07/09","22:50:20","1688932220-2","Shoulderplates of Planar Isolation","202595","item:202595::::::::70:102::5:7:9409:9330:6652:9226:9218:1485:8767::::::","Mejora","0","DEATHKNIGHT","Aberrus, the Shadowed Crucible-Heroic","The Amalgamation Chamber","15","2569","18","Lingering Phantom's Shoulderplates","","4","false","catalizador","Codetuma-Zul'jin","default",""
"Deafkníght-Zul'jin","2023/07/09","23:19:12","1688933952-13","Dreadful Melting Fluid","202627","item:202627::::::::70:102::5:4:9409:9229:1485:8767::::::","Mejora","1","DEATHKNIGHT","Aberrus, the Shadowed Crucible-Heroic","Magmorax","15","2569","18","Lingering Phantom's Dreadhorns","","4","false","","Codetuma-Zul'jin","default","true"
"Deafkníght-Zul'jin","2023/07/09","23:48:37","1688935717-17","Dreadful Corrupting Fluid","202621","item:202621::::::::70:102::5:4:9409:9227:1485:8767::::::","Bis","0","DEATHKNIGHT","Aberrus, the Shadowed Crucible-Heroic","Echo of Neltharion","15","2569","17","Lingering Phantom's Shoulderplates","","2","false","","Codetuma-Zul'jin","default","true"
"Deafkníght-Zul'jin","2023/07/09","23:49:08","1688935748-19","Twisted Vision's Demigaunts","202601","item:202601::::::::70:102::5:7:6652:9226:9218:9409:9333:1485:8767::::::","Mejora","0","DEATHKNIGHT","Aberrus, the Shadowed Crucible-Heroic","Echo of Neltharion","15","2569","18","Lingering Phantom's Gauntlets","","4","false","","Codetuma-Zul'jin","default",""
